Name	[i5]	[i7]	Lane	Set_num
L-T0-CCC1	ITS	None	170	R1
L-T0-CCC4	ITS	None	260	R1
L-T0-CCH3	ITS	None	266	R1
L-T0-CCH4	ITS	None	180	R1
L-T0-CGC2	ITS	None	195	R1
L-T0-CGC3	ITS	None	178	R1
L-T0-CGC4	ITS	None	111	R1
L-T0-D012	ITS	None	200	R1
L-T0-D014	ITS	None	281	R1
L-T0-D021	ITS	None	237	R1
L-T0-D022	ITS	None	15	R1
L-T0-D023	ITS	None	88	R1
L-T0-D032	ITS	None	203	R1
L-T0-D033	ITS	None	116	R1
L-T0-D034	ITS	None	143	R1
L-T0-D041	ITS	None	22	R1
L-T0-D042	ITS	None	137	R1
L-T0-D051	ITS	None	277	R1
L-T0-D061	ITS	None	57	R1
L-T0-D062	ITS	None	1	R1
L-T0-D073	ITS	None	70	R1
L-T0-D074	ITS	None	78	R1
L-T0-D083	ITS	None	53	R1
L-T0-D084	ITS	None	301	R1
L-T0-D093	ITS	None	5	R1
L-T0-D101	ITS	None	51	R1
L-T0-D102	ITS	None	216	R1
L-T0-D104	ITS	None	144	R1
L-T0-D111	ITS	None	286	R1
L-T0-D112	ITS	None	259	R1
L-T0-D113	ITS	None	233	R1
L-T0-D114	ITS	None	140	R1
L-T0-D121	ITS	None	16	R1
L-T0-D123	ITS	None	242	R1
L-T0-D131	ITS	None	152	R1
L-T0-D132	ITS	None	155	R1
L-T0-D133	ITS	None	283	R1
L-T0-D142	ITS	None	279	R1
L-T0-D143	ITS	None	243	R1
L-T0-LB011	ITS	None	187	R1
L-T0-LB021	ITS	None	115	R1
L-T0-LB032	ITS	None	184	R1
L-T0-LB041	ITS	None	228	R1
L-T0-LB042	ITS	None	107	R1
L-T0-LB051	ITS	None	199	R1
L-T0-LB052	ITS	None	74	R1
L-T0-LB071	ITS	None	208	R1
L-T0-LB072	ITS	None	292	R1
L-T0-LB092	ITS	None	58	R1
L-T0-LB102	ITS	None	265	R1
L-T0-LB111	ITS	None	55	R1
L-T0-LB112	ITS	None	97	R1
L-T0-LB121	ITS	None	56	R1
L-T0-MCC1	ITS	None	273	R1
L-T0-MCC2	ITS	None	280	R1
L-T0-MCC3	ITS	None	255	R1
L-T0-MCH1	ITS	None	142	R1
L-T0-MCH2	ITS	None	65	R1
L-T0-MGC1	ITS	None	261	R1
L-T0-MGH1	ITS	None	287	R1
L-T0-MGH2	ITS	None	94	R1
L-T0-MGH3	ITS	None	105	R1
L-T1-CCC2	ITS	None	215	R1
L-T1-CCC3	ITS	None	269	R1
L-T1-CCC4	ITS	None	118	R1
L-T1-CCH2	ITS	None	35	R1
L-T1-CCH3	ITS	None	241	R1
L-T1-CCH4	ITS	None	231	R1
L-T1-CGC4	ITS	None	147	R1
L-T1-CGH2	ITS	None	227	R1
L-T1-CGH3	ITS	None	186	R1
L-T1-D011	ITS	None	32	R1
L-T1-D012	ITS	None	179	R1
L-T1-D013	ITS	None	104	R1
L-T1-D014	ITS	None	82	R1
L-T1-D021	ITS	None	79	R1
L-T1-D023	ITS	None	232	R1
L-T1-D024	ITS	None	102	R1
L-T1-D032	ITS	None	121	R1
L-T1-D033	ITS	None	204	R1
L-T1-D034	ITS	None	34	R1
L-T1-D043	ITS	None	89	R1
L-T1-D044	ITS	None	172	R1
L-T1-D051	ITS	None	77	R1
L-T1-D062	ITS	None	153	R1
L-T1-D072	ITS	None	8	R1
L-T1-D082	ITS	None	213	R1
L-T1-D083	ITS	None	296	R1
L-T1-D092	ITS	None	18	R1
L-T1-D094	ITS	None	162	R1
L-T1-D101	ITS	None	86	R1
L-T1-D102	ITS	None	295	R1
L-T1-D104	ITS	None	47	R1
L-T1-D112	ITS	None	66	R1
L-T1-D113	ITS	None	13	R1
L-T1-D114	ITS	None	134	R1
L-T1-D121	ITS	None	24	R1
L-T1-D122	ITS	None	85	R1
L-T1-D123	ITS	None	229	R1
L-T1-D131	ITS	None	54	R1
L-T1-D133	ITS	None	112	R1
L-T1-D134	ITS	None	238	R1
L-T1-D152	ITS	None	11	R1
L-T1-D153	ITS	None	278	R1
L-T1-D154	ITS	None	185	R1
L-T1-LB012	ITS	None	219	R1
L-T1-LB021	ITS	None	205	R1
L-T1-LB022	ITS	None	253	R1
L-T1-LB041	ITS	None	192	R1
L-T1-LB042	ITS	None	37	R1
L-T1-LB051	ITS	None	43	R1
L-T1-LB052	ITS	None	130	R1
L-T1-LB072	ITS	None	68	R1
L-T1-LB081	ITS	None	83	R1
L-T1-LB091	ITS	None	221	R1
L-T1-LB092	ITS	None	211	R1
L-T1-LB102	ITS	None	285	R1
L-T1-LB112	ITS	None	139	R1
L-T1-LB122	ITS	None	218	R1
L-T1-MCC2	ITS	None	36	R1
L-T1-MCC3	ITS	None	124	R1
L-T1-MCH1	ITS	None	275	R1
L-T1-MCH2	ITS	None	157	R1
L-T1-MGC2	ITS	None	174	R1
L-T1-MGH2	ITS	None	262	R1
L-T1-MGH4	ITS	None	145	R1
NEGATIVE	ITS	None	290	R1
Neg-D01	ITS	None	303	R1
Neg-D02	ITS	None	299	R1
Neg-D03	ITS	None	302	R1
Neg-D04	ITS	None	282	R1
Neg-D05	ITS	None	258	R1
Neg-D06	ITS	None	294	R1
Neg-D07	ITS	None	196	R1
Neg-D08	ITS	None	293	R1
Neg-P02	ITS	None	298	R1
Neg-P03	ITS	None	161	R1
Neg-P04	ITS	None	284	R1
Neg-P05	ITS	None	305	R1
POSITIVE	ITS	None	223	R1
Pos-D01	ITS	None	306	R1
Pos-D02	ITS	None	224	R1
Pos-D03	ITS	None	72	R1
Pos-D04	ITS	None	120	R1
R-T0-CCH1	ITS	None	44	R1
R-T0-CCH3	ITS	None	3	R1
R-T0-CCH4	ITS	None	176	R1
R-T0-CGH1	ITS	None	6	R1
R-T0-CGH3	ITS	None	7	R1
R-T0-CGH4	ITS	None	95	R1
R-T0-D011	ITS	None	245	R1
R-T0-D012	ITS	None	220	R1
R-T0-D021	ITS	None	131	R1
R-T0-D022	ITS	None	12	R1
R-T0-D024	ITS	None	159	R1
R-T0-D032	ITS	None	87	R1
R-T0-D033	ITS	None	14	R1
R-T0-D034	ITS	None	92	R1
R-T0-D041	ITS	None	222	R1
R-T0-D042	ITS	None	80	R1
R-T0-D043	ITS	None	288	R1
R-T0-D051	ITS	None	114	R1
R-T0-D052	ITS	None	141	R1
R-T0-D054	ITS	None	225	R1
R-T0-D061	ITS	None	236	R1
R-T0-D063	ITS	None	81	R1
R-T0-D064	ITS	None	110	R1
R-T0-D074	ITS	None	150	R1
R-T0-D083	ITS	None	109	R1
R-T0-D092	ITS	None	181	R1
R-T0-D093	ITS	None	252	R1
R-T0-D102	ITS	None	226	R1
R-T0-D103	ITS	None	188	R1
R-T0-D111	ITS	None	291	R1
R-T0-D112	ITS	None	167	R1
